2026-05-04 01:44:39,283 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:44:49,637 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:44:49,897 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:45:00,168 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:45:00,432 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:45:10,705 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:45:10,969 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:45:21,232 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:45:21,493 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:45:31,825 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:45:32,088 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:45:42,475 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:45:42,739 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:45:53,005 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:45:53,269 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
